label,timeframe,trades,win_rate,max_dd_pct,gross_balance,net_balance,gross_pf,net_pf,total_costs
mode=reversal_daily|entry=prev_open|rr=2|trail=be_1r|slip=1,15m,345,30.14,3106.82,1350.44,-30068.20,1.17,0.12,27631.32
mode=reversal_daily|entry=prev_open|rr=2|trail=be_1r|slip=2,15m,345,29.85,3082.13,1323.75,-29821.38,1.16,0.12,27638.01
mode=reversal_daily|entry=prev_open|rr=2|trail=be_1r|slip=3,15m,345,29.85,3082.91,1323.52,-29829.16,1.16,0.12,27644.91
mode=continuation_ema200|entry=close|rr=1|trail=none|slip=0,15m,2881,48.80,20980.53,434.27,-192628.66,0.94,0.80,241569.18
mode=continuation_ema200|entry=close|rr=1|trail=none|slip=1,15m,2881,48.80,20975.57,432.88,-192570.15,0.94,0.80,241626.80
mode=continuation_ema200|entry=close|rr=1|trail=none|slip=2,15m,2881,48.80,20975.76,431.86,-192562.32,0.93,0.80,241684.42
mode=continuation_ema200|entry=close|rr=1|trail=none|slip=3,15m,2881,48.80,20975.27,430.81,-192547.73,0.93,0.80,241742.04
mode=continuation_ema200|entry=close|rr=1|trail=be_1r|slip=0,15m,2881,48.80,20980.53,434.27,-192628.66,0.94,0.80,241569.18
mode=continuation_ema200|entry=close|rr=1|trail=be_1r|slip=1,15m,2881,48.80,20975.57,432.88,-192570.15,0.94,0.80,241626.80
mode=continuation_ema200|entry=close|rr=1|trail=be_1r|slip=2,15m,2881,48.80,20975.76,431.86,-192562.32,0.93,0.80,241684.42
mode=continuation_ema200|entry=close|rr=1|trail=be_1r|slip=3,15m,2881,48.80,20975.27,430.81,-192547.73,0.93,0.80,241742.04
mode=continuation_ema200|entry=close|rr=1.5|trail=none|slip=0,15m,2784,39.22,24157.62,473.87,-185534.92,0.95,0.84,233847.77
mode=continuation_ema200|entry=close|rr=1.5|trail=none|slip=1,15m,2784,39.22,24153.79,472.72,-185495.15,0.95,0.84,233903.45
mode=continuation_ema200|entry=close|rr=1.5|trail=none|slip=2,15m,2784,39.22,24154.94,471.87,-185495.88,0.95,0.84,233959.13
mode=continuation_ema200|entry=close|rr=1.5|trail=none|slip=3,15m,2784,39.22,24155.46,470.99,-185490.93,0.95,0.84,234014.82
mode=continuation_ema200|entry=close|rr=1.5|trail=be_1r|slip=0,15m,2847,32.24,20562.72,373.19,-181658.82,0.92,0.81,238117.11
mode=continuation_ema200|entry=close|rr=1.5|trail=be_1r|slip=1,15m,2847,32.24,20558.52,372.41,-181618.34,0.92,0.81,238174.06
mode=continuation_ema200|entry=close|rr=1.5|trail=be_1r|slip=2,15m,2847,32.20,20471.47,366.34,-180963.23,0.92,0.81,238231.08
mode=continuation_ema200|entry=close|rr=1.5|trail=be_1r|slip=3,15m,2847,32.20,20472.34,365.75,-180965.75,0.92,0.81,238288.03
mode=continuation_ema200|entry=close|rr=2|trail=none|slip=0,15m,2694,32.47,21866.95,385.09,-169555.60,0.94,0.84,223709.61
mode=continuation_ema200|entry=close|rr=2|trail=none|slip=1,15m,2694,32.47,21866.21,384.33,-169539.52,0.94,0.84,223763.50
mode=continuation_ema200|entry=close|rr=2|trail=none|slip=2,15m,2694,32.47,21868.80,383.78,-169551.14,0.94,0.84,223817.38
mode=continuation_ema200|entry=close|rr=2|trail=none|slip=3,15m,2694,32.44,21862.43,371.94,-169503.54,0.94,0.84,223871.30
mode=continuation_ema200|entry=close|rr=2|trail=be_1r|slip=0,15m,2802,24.51,21582.41,459.49,-194313.73,0.94,0.79,232363.87
mode=continuation_ema200|entry=close|rr=2|trail=be_1r|slip=1,15m,2802,24.55,21581.86,467.93,-194301.94,0.94,0.79,232419.97
mode=continuation_ema200|entry=close|rr=2|trail=be_1r|slip=2,15m,2802,24.55,21584.65,467.38,-194320.54,0.94,0.79,232476.02
mode=continuation_ema200|entry=close|rr=2|trail=be_1r|slip=3,15m,2802,24.55,21587.02,466.80,-194335.28,0.94,0.79,232532.06
mode=continuation_ema200|entry=prev_open|rr=1|trail=none|slip=0,15m,2401,45.85,11723.05,121.22,-99138.75,0.85,0.79,196533.25
mode=continuation_ema200|entry=prev_open|rr=1|trail=none|slip=1,15m,2400,45.83,11720.41,119.57,-99110.04,0.85,0.79,196574.15
mode=continuation_ema200|entry=prev_open|rr=1|trail=none|slip=2,15m,2400,45.83,11720.34,119.20,-99102.75,0.85,0.79,196622.16
mode=continuation_ema200|entry=prev_open|rr=1|trail=none|slip=3,15m,2400,45.83,11720.09,118.83,-99093.99,0.85,0.79,196670.16
mode=continuation_ema200|entry=prev_open|rr=1|trail=be_1r|slip=0,15m,2401,45.85,11723.05,121.22,-99138.75,0.85,0.79,196533.25
mode=continuation_ema200|entry=prev_open|rr=1|trail=be_1r|slip=1,15m,2400,45.83,11720.41,119.57,-99110.04,0.85,0.79,196574.15
mode=continuation_ema200|entry=prev_open|rr=1|trail=be_1r|slip=2,15m,2400,45.83,11720.34,119.20,-99102.75,0.85,0.79,196622.16
mode=continuation_ema200|entry=prev_open|rr=1|trail=be_1r|slip=3,15m,2400,45.83,11720.09,118.83,-99093.99,0.85,0.79,196670.16
mode=continuation_ema200|entry=prev_open|rr=1.5|trail=none|slip=0,15m,2344,38.60,12218.99,372.23,-106625.62,0.94,0.82,190941.95
mode=continuation_ema200|entry=prev_open|rr=1.5|trail=none|slip=1,15m,2344,38.60,12217.37,371.02,-106603.79,0.94,0.82,190988.83
mode=continuation_ema200|entry=prev_open|rr=1.5|trail=none|slip=2,15m,2343,38.62,12218.25,373.74,-106603.55,0.95,0.82,191022.94
mode=continuation_ema200|entry=prev_open|rr=1.5|trail=none|slip=3,15m,2343,38.62,12218.07,372.72,-106594.68,0.95,0.82,191069.80
mode=continuation_ema200|entry=prev_open|rr=1.5|trail=be_1r|slip=0,15m,2373,33.08,13454.81,296.09,-119766.87,0.91,0.79,193839.54
mode=continuation_ema200|entry=prev_open|rr=1.5|trail=be_1r|slip=1,15m,2372,33.09,13452.66,295.21,-119741.79,0.91,0.79,193879.88
mode=continuation_ema200|entry=prev_open|rr=1.5|trail=be_1r|slip=2,15m,2372,33.01,13407.08,285.84,-119365.38,0.91,0.79,193927.39
mode=continuation_ema200|entry=prev_open|rr=1.5|trail=be_1r|slip=3,15m,2372,33.01,13406.64,285.13,-119355.94,0.91,0.79,193974.83
mode=continuation_ema200|entry=prev_open|rr=2|trail=none|slip=0,15m,2289,33.42,15683.05,845.60,-130389.58,0.99,0.84,185760.99
mode=continuation_ema200|entry=prev_open|rr=2|trail=none|slip=1,15m,2289,33.42,15680.67,843.23,-130360.23,0.99,0.84,185806.78
mode=continuation_ema200|entry=prev_open|rr=2|trail=none|slip=2,15m,2289,33.42,15680.36,841.24,-130348.46,0.99,0.84,185852.56
mode=continuation_ema200|entry=prev_open|rr=2|trail=none|slip=3,15m,2289,33.33,15644.34,790.65,-130061.57,0.98,0.83,185898.36
mode=continuation_ema200|entry=prev_open|rr=2|trail=be_1r|slip=0,15m,2348,26.06,15844.08,546.33,-137169.26,0.95,0.80,191648.27
mode=continuation_ema200|entry=prev_open|rr=2|trail=be_1r|slip=1,15m,2347,26.07,15841.56,544.99,-137141.02,0.95,0.80,191688.11
mode=continuation_ema200|entry=prev_open|rr=2|trail=be_1r|slip=2,15m,2347,25.99,15838.24,522.75,-137107.82,0.95,0.80,191734.97
mode=continuation_ema200|entry=prev_open|rr=2|trail=be_1r|slip=3,15m,2347,25.94,15824.70,511.44,-136992.55,0.94,0.80,191781.90
